ts,i_bat_raw,u_bat_raw,t_cells,ca_ch,ca_disch
0,0,2.0202503,31.450912,0,0
0.002458333,0.215949145,2.0321436,31.403294,0,0
0.002871667,0.360018127,2.0440445,31.403294,0,0
0.003256667,0.467244927,2.0553827,31.403294,0,0
0.003538333,0.575632618,2.0685091,31.403294,0,0
0.003991667,0.719840309,2.0889187,31.403294,0,0
0.004155,0.792320427,2.1002407,31.403294,0,0
0.00446,0.863527818,2.1122694,31.403294,0,0
0.004626667,0.935792909,2.1250553,31.403294,0,0
0.004883333,1.043140273,2.1451731,31.403294,0,0
0.005131667,1.115983636,2.1591539,31.403294,0,0
0.005446667,1.223576273,2.1812,31.403294,0,0
0.005751667,1.331724727,2.2045755,31.403294,0,0
0.00603,1.40333,2.2203598,31.403294,0,0
0.006311667,1.511619727,2.2450562,31.403294,0,0
0.006563333,1.583394182,2.2619581,31.403294,0,0
0.00671,1.655530909,2.2787418,31.403294,0,0
0.00699,1.727529,2.296051,31.403294,0,0
0.007265,1.835474545,2.3223114,31.403294,0,0
0.007523333,1.907628636,2.340126,31.403294,0,0
0.00767,1.979411727,2.3578043,31.403294,0,0
0.007975,2.051556364,2.3755522,31.403294,0,0
0.008205,2.159166364,2.402256,31.403294,0,0
0.00851,2.267502909,2.4287586,31.403294,0,0
0.008815,2.339626636,2.4460268,31.403294,0,0
0.008955,2.411551909,2.4631872,31.403294,0,0
0.009205,2.483504,2.4796038,31.403294,0,0
0.009488333,2.591315182,2.5032015,31.403294,0,0
0.009763333,2.664540909,2.518117,31.403294,0,0
0.00991,2.735812455,2.5319605,31.403294,0,0
0.01016,2.806259545,2.5450544,31.403294,0,0
0.010391667,2.880140636,2.5573254,31.403294,0,0
0.010645,2.987829545,2.5740633,31.403294,0,0
0.010898333,3.059767818,2.5843086,31.403294,0,0
0.011218333,3.167928364,2.5982981,31.403294,0.000221406,0
0.011588333,3.275703909,2.6109715,31.403294,0.000221406,0
0.011818333,3.383486455,2.6223717,31.403294,0.000221406,0
0.012231667,3.491358364,2.6329327,31.403294,0.000221406,0
0.012655,3.563930364,2.645709,31.403294,0.000221406,0
0.013603333,3.563941636,2.6566286,31.403294,0.000221406,0
0.014883333,3.563520273,2.6671124,31.403294,0.000221406,0
0.016763333,3.563917364,2.6771688,31.403294,0.000221406,0
0.019136667,3.599816273,2.6878681,31.403294,0.000221406,0
0.022363333,3.599728636,2.698103,31.403294,0.000221406,0
0.025923333,3.599236273,2.7086563,31.403294,0.000221406,0
0.029658333,3.600249727,2.718771,31.403294,0.001502401,0
0.033483333,3.599979182,2.7288609,31.434717,0.001502401,0
0.03759,3.599776364,2.7390261,31.434717,0.001502401,0
0.041775,3.600142182,2.7493916,31.434717,0.001502401,0
0.046311667,3.599196364,2.759553,31.434717,0.002609873,0
0.050936667,3.600077182,2.7697287,31.434717,0.002609873,0
0.055641667,3.599905545,2.7800045,31.434717,0.002609873,0
0.060603333,3.599898636,2.7900143,31.434717,0.002609873,0
0.065791667,3.600094545,2.8002796,31.434717,0.00388519,0
0.071323333,3.600346818,2.8106203,31.434717,0.00388519,0
0.077153333,3.600038182,2.82092,31.434717,0.00388519,0
0.082965,3.600009545,2.8309803,31.408449,0.005010557,0
0.089243333,3.599857818,2.8411856,31.408449,0.005010557,0
0.095751667,3.599979182,2.8512888,31.408449,0.005848566,0
0.102591667,3.600438727,2.861352,31.408449,0.005848566,0
0.109711667,3.600047727,2.8714437,31.408449,0.005848566,0
0.117155,3.600031273,2.881628,31.408449,0.007200136,0
0.124858333,3.600459545,2.8917351,31.408449,0.007200136,0
0.12486,3.600459545,2.8917351,31.401596,0.007200136,0
0.133031667,3.599994818,2.9018335,31.401596,0.00828722,0
0.141365,3.600153455,2.9119196,31.401596,0.00828722,0
0.1501,3.599959273,2.9219542,31.401596,0.009457554,0
0.15918,3.600103182,2.9320774,31.401596,0.009457554,0
0.168683333,3.599863909,2.9421368,31.401596,0.010685029,0
0.17854,3.599832727,2.9522247,31.346167,0.011334698,0
